City,City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,451,Santiago Del Estero,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
452,452,Lavrentiya,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
453,453,Moba,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
454,454,Padina,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
455,455,Toliary,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
456,456,Coquimbo,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
457,457,Auki,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
458,458,Villazon,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
459,459,Kutum,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
460,460,West Bay,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
461,461,Schroeder,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
462,462,Quatre Cocos,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
463,463,Inhambane,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
464,464,Sabinas Hidalgo,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
465,465,Meadow Lake,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
466,466,Palabuhanratu,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
467,467,Kayerkan,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
468,468,Vila,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
469,469,Tessalit,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
470,470,Kyenjojo,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
471,471,Guerrero Negro,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
472,472,Narsaq,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
473,473,Fort Saint John,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
474,474,Necochea,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
475,475,Juan De Acosta,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
476,476,Burkhala,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
477,477,Mezen,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
478,478,Zunyi,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
479,479,Umm Ruwabah,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
480,480,Iwaki,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
481,481,Ixtapa,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
482,482,Kormilovka,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
483,483,Hualmay,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
484,484,Bac Lieu,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
485,485,Kamenskoye,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
486,486,Trairi,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
487,487,Matagami,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
488,488,Kaeo,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
489,489,Granadilla De Abona,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
490,490,Karratha,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
491,491,Mahadday Weyne,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
492,492,Sarahan,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
493,493,Goderich,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
494,494,Pitimbu,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
495,495,Darhan,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
496,496,Ninghai,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
497,497,Kautokeino,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
498,498,Cap Malheureux,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
499,499,Petropavlovsk-Kamchatskiy,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
